InvoiceNo,InvoiceDate,CustomerID,Total
536573,2010-12-01 15:45:00,17025,143.12
536574,2010-12-01 15:46:00,17025,17.85
536575,2010-12-01 16:01:00,13777,1552.98
536576,2010-12-01 16:11:00,13777,2558.42
536577,2010-12-01 16:13:00,13777,497.0
536578,2010-12-01 16:15:00,17690,279.6
536579,2010-12-01 16:16:00,13777,315.96000000000004
536580,2010-12-01 16:17:00,17690,97.2
536581,2010-12-01 16:19:00,13777,330.0
536582,2010-12-01 16:21:00,12947,304.03999999999996
536583,2010-12-01 16:21:00,13777,198.0
536584,2010-12-01 16:22:00,13777,1132.8000000000002
536585,2010-12-01 16:24:00,17460,19.9
536586,2010-12-01 16:25:00,18229,344.2
536587,2010-12-01 16:33:00,14142,311.81
536588,2010-12-01 16:49:00,17069,277.05
536590,2010-12-01 16:52:00,13065,205.85999999999999
536591,2010-12-01 16:57:00,14606,198.32
536593,2010-12-01 17:15:00,16835,81.75
536594,2010-12-01 17:22:00,15235,79.5
536595,2010-12-01 17:24:00,13576,349.15
536597,2010-12-01 17:35:00,18011,102.79
536598,2010-12-02 07:48:00,13090,160.6
536599,2010-12-02 07:49:00,15694,306.4
536600,2010-12-02 08:32:00,17850,251.62
536601,2010-12-02 08:33:00,17850,22.200000000000003
536602,2010-12-02 08:34:00,17850,163.76000000000002
536603,2010-12-02 08:40:00,17850,22.200000000000003
536604,2010-12-02 08:43:00,14741,184.5
536605,2010-12-02 08:52:00,13715,272.65
C536606,2010-12-02 09:10:00,14092,-5.9
536607,2010-12-02 09:29:00,17732,303.96999999999997
536608,2010-12-02 09:37:00,12855,38.1
536609,2010-12-02 09:41:00,17850,244.45999999999998
536610,2010-12-02 09:42:00,17850,22.200000000000003
536611,2010-12-02 09:43:00,15752,259.65
536612,2010-12-02 09:44:00,17850,206.76000000000002
536613,2010-12-02 09:44:00,17855,208.97
536614,2010-12-02 09:44:00,17850,22.200000000000003
536615,2010-12-02 10:09:00,14047,286.92
536616,2010-12-02 10:10:00,17925,244.08
536617,2010-12-02 10:17:00,13941,1095.12
536618,2010-12-02 10:17:00,17017,780.12
536619,2010-12-02 10:18:00,17017,97.19999999999999
536620,2010-12-02 10:27:00,14135,485.25
536621,2010-12-02 10:35:00,13108,350.05999999999995
C536622,2010-12-02 10:37:00,12471,-17.0
536623,2010-12-02 10:39:00,15601,768.3800000000001
536624,2010-12-02 10:45:00,13418,610.64
536626,2010-12-02 10:46:00,13418,12.600000000000001
C536625,2010-12-02 10:46:00,14766,-29.9
536627,2010-12-02 10:53:00,15658,306.2
536628,2010-12-02 10:54:00,17850,230.55999999999997
536629,2010-12-02 10:55:00,17850,22.200000000000003
536630,2010-12-02 10:56:00,17850,244.45999999999998
536631,2010-12-02 10:58:00,17850,22.200000000000003
536632,2010-12-02 11:02:00,14388,312.79999999999995
536633,2010-12-02 11:20:00,14901,204.15
536634,2010-12-02 11:21:00,18041,193.78
536635,2010-12-02 11:22:00,15955,572.38
536636,2010-12-02 11:23:00,15070,106.2
536637,2010-12-02 11:35:00,18041,235.15999999999997
536638,2010-12-02 11:41:00,16244,1056.6299999999999
536639,2010-12-02 11:45:00,15111,288.5
536641,2010-12-02 11:46:00,12748,4.25
C536642,2010-12-02 11:56:00,14390,-5.95
536643,2010-12-02 11:57:00,14390,223.7
536663,2010-12-02 12:07:00,16546,299.40000000000003
536667,2010-12-02 12:09:00,15260,362.5
536670,2010-12-02 12:09:00,15260,58.0
536671,2010-12-02 12:10:00,13305,136.2
536672,2010-12-02 12:10:00,14491,127.2
536673,2010-12-02 12:11:00,14060,339.84
536674,2010-12-02 12:16:00,15923,127.08000000000001
536676,2010-12-02 12:18:00,16752,207.5
536681,2010-12-02 12:22:00,17287,113.91999999999999
536685,2010-12-02 12:23:00,17850,380.46000000000004
536688,2010-12-02 12:24:00,17850,22.200000000000003
536690,2010-12-02 12:25:00,17850,331.26
536693,2010-12-02 12:26:00,17850,22.200000000000003
536698,2010-12-02 12:28:00,15363,326.0
536707,2010-12-02 12:33:00,12915,199.64999999999998
536732,2010-12-02 12:47:00,15544,354.53999999999996
536733,2010-12-02 12:50:00,15738,329.65000000000003
C536734,2010-12-02 12:50:00,16042,-24.95
536735,2010-12-02 12:58:00,17381,211.2
536736,2010-12-02 12:59:00,17381,824.88
C536737,2010-12-02 13:05:00,15922,-5.9
536738,2010-12-02 13:06:00,15827,98.18000000000002
536739,2010-12-02 13:08:00,14180,201.75
536740,2010-12-02 13:08:00,15827,92.75000000000001
536741,2010-12-02 13:11:00,13117,202.11999999999998
536742,2010-12-02 13:14:00,16916,198.07999999999998
536743,2010-12-02 13:32:00,17964,261.76
536744,2010-12-02 13:36:00,14466,379.74999999999994
536745,2010-12-02 13:38:00,17235,341.9
536746,2010-12-02 13:39:00,16510,248.10000000000002
536747,2010-12-02 13:44:00,17802,100.19999999999999
536748,2010-12-02 13:45:00,15107,116.0
536749,2010-12-02 13:49:00,17976,353.19000000000005
536750,2010-12-02 14:04:00,17850,434.8
536751,2010-12-02 14:05:00,17850,22.200000000000003
536752,2010-12-02 14:06:00,17850,390.65999999999997
536753,2010-12-02 14:07:00,17850,22.200000000000003
536754,2010-12-02 14:09:00,14449,210.24
C536757,2010-12-02 14:23:00,15838,-280.8
C536758,2010-12-02 14:25:00,13767,-2.1
536759,2010-12-02 14:26:00,16781,311.25
C536760,2010-12-02 14:29:00,17547,-11.8
536761,2010-12-02 14:30:00,13491,98.9
536762,2010-12-02 14:40:00,16186,307.68000000000006
536763,2010-12-02 14:42:00,17685,452.52
536769,2010-12-02 14:47:00,17581,668.4
536771,2010-12-02 14:49:00,17581,118.38
536777,2010-12-02 15:00:00,15732,138.1
536778,2010-12-02 15:03:00,13138,193.23000000000002
536779,2010-12-02 15:08:00,15823,15.0
536781,2010-12-02 15:14:00,17460,50.400000000000006
536782,2010-12-02 15:18:00,17567,517.9499999999999
536783,2010-12-02 15:19:00,15061,4076.48
536784,2010-12-02 15:20:00,15061,2170.9
536785,2010-12-02 15:22:00,15061,2730.96
536786,2010-12-02 15:23:00,15061,324.0
536787,2010-12-02 15:24:00,17850,192.46
536788,2010-12-02 15:25:00,15061,75.0
536789,2010-12-02 15:25:00,17850,22.200000000000003
536790,2010-12-02 15:26:00,17850,532.01
536791,2010-12-02 15:27:00,17850,44.400000000000006
536792,2010-12-02 15:28:00,15061,30.0
536793,2010-12-02 15:39:00,16203,170.7
536794,2010-12-02 15:40:00,13767,322.79999999999995
536795,2010-12-02 15:40:00,15640,333.7199999999999
536796,2010-12-02 15:46:00,15574,375.65
536797,2010-12-02 15:49:00,16770,130.8
536798,2010-12-02 15:55:00,17838,717.1600000000002
536799,2010-12-02 16:00:00,17228,183.3
536800,2010-12-02 16:12:00,14829,236.96999999999997
536802,2010-12-02 16:29:00,17412,197.3
536803,2010-12-02 16:33:00,14911,22.5
536804,2010-12-02 16:34:00,14031,1714.25
536805,2010-12-02 16:38:00,14775,406.55999999999995
536806,2010-12-02 16:42:00,12971,45.120000000000005
C536807,2010-12-02 16:45:00,15834,-23.849999999999998
536808,2010-12-02 16:46:00,17659,247.8
536809,2010-12-02 16:48:00,15299,1003.2
536810,2010-12-02 16:50:00,15299,303.96
536811,2010-12-02 16:51:00,15299,527.85
C536812,2010-12-02 16:58:00,16546,-883.08
536813,2010-12-02 16:59:00,15646,189.8
C536814,2010-12-02 17:03:00,13958,-102.45
C536815,2010-12-02 17:05:00,14443,-1.67
C536816,2010-12-02 17:06:00,14443,-13.9
C536817,2010-12-02 17:08:00,14156,-7.5
C536818,2010-12-02 17:09:00,16995,-1.25
536819,2010-12-02 17:12:00,13402,308.28
C536820,2010-12-02 17:14:00,18168,-16.95
536821,2010-12-02 17:17:00,17757,143.45
C536822,2010-12-02 17:19:00,14625,-37.65
536823,2010-12-02 17:22:00,13011,50.550000000000004
536824,2010-12-02 17:24:00,13798,408.0
C536825,2010-12-02 17:27:00,15384,-6.65
C536826,2010-12-02 17:30:00,17924,-23.25
C536827,2010-12-02 17:31:00,13408,-20.85
C536828,2010-12-02 17:35:00,14264,-14.5
C536829,2010-12-02 17:36:00,13295,-3.25
536830,2010-12-02 17:38:00,16754,2002.4
536831,2010-12-02 17:40:00,16029,569.4
536832,2010-12-02 17:41:00,16634,164.8
536833,2010-12-02 17:48:00,18239,438.09999999999997
536834,2010-12-02 17:51:00,14576,35.400000000000006
536835,2010-12-02 18:06:00,13145,295.0
536836,2010-12-02 18:08:00,18168,263.29999999999995
536837,2010-12-02 18:15:00,14395,308.67999999999995
536838,2010-12-02 18:23:00,14865,37.2
536839,2010-12-02 18:25:00,15093,623.73
536840,2010-12-02 18:27:00,12738,155.35
536841,2010-12-02 18:27:00,16150,393.41999999999996
536842,2010-12-02 18:45:00,17552,263.62
536843,2010-12-02 18:46:00,17552,34.9
536844,2010-12-02 18:49:00,14236,189.3
536845,2010-12-02 19:18:00,17961,127.55000000000001
536846,2010-12-02 19:59:00,14573,413.09999999999997
536847,2010-12-03 09:31:00,17135,215.58
536848,2010-12-03 09:39:00,13408,534.0
536849,2010-12-03 09:45:00,17396,397.5
C536850,2010-12-03 09:47:00,14213,-1192.2000000000003
536851,2010-12-03 09:49:00,12967,1368.4
536852,2010-12-03 09:51:00,12686,89.14
C536853,2010-12-03 10:07:00,14679,-2.55
C536854,2010-12-03 10:09:00,15240,-5.45
C536855,2010-12-03 10:11:00,18225,-31.8
536856,2010-12-03 10:26:00,13370,754.8700000000001
536857,2010-12-03 10:33:00,16883,128.02999999999997
536858,2010-12-03 10:36:00,13520,303.4
536859,2010-12-03 10:43:00,12841,294.25
536860,2010-12-03 10:43:00,16905,254.39999999999998
536861,2010-12-03 10:44:00,12427,303.5
536863,2010-12-03 11:19:00,17967,123.07
536874,2010-12-03 11:35:00,16891,232.26
536884,2010-12-03 11:42:00,14589,39.75
536890,2010-12-03 11:48:00,14156,322.2
536938,2010-12-03 12:05:00,14680,1680.8799999999999
536943,2010-12-03 12:11:00,17884,187.51000000000002
536944,2010-12-03 12:20:00,12557,620.0
536945,2010-12-03 12:24:00,14083,309.53999999999996
536946,2010-12-03 12:28:00,13013,841.9399999999999
536947,2010-12-03 12:29:00,13013,686.4
536954,2010-12-03 12:41:00,17809,425.0
536956,2010-12-03 12:43:00,14210,304.95
536957,2010-12-03 12:43:00,17809,791.7000000000002
536960,2010-12-03 12:48:00,16477,225.65
536967,2010-12-03 12:57:00,12600,76.5
536968,2010-12-03 13:09:00,16013,534.0
536969,2010-12-03 13:10:00,16013,528.0
536970,2010-12-03 13:12:00,17949,1314.0
536971,2010-12-03 13:40:00,12779,248.15999999999997
536972,2010-12-03 13:42:00,16926,230.25000000000003
536973,2010-12-03 13:43:00,17787,736.28
536974,2010-12-03 13:59:00,12682,336.24
536975,2010-12-03 14:04:00,14911,1705.6500000000003
536976,2010-12-03 14:18:00,14723,149.79999999999998
536977,2010-12-03 14:18:00,17954,108.78
C536978,2010-12-03 14:19:00,17954,-9.95
C536979,2010-12-03 14:23:00,17841,-5.7
536980,2010-12-03 14:26:00,17819,591.4699999999999
536981,2010-12-03 14:26:00,14723,101.13999999999999
536983,2010-12-03 14:30:00,12712,175.53
536984,2010-12-03 14:35:00,17841,339.5399999999999
536985,2010-12-03 14:40:00,15373,334.3
536986,2010-12-03 14:40:00,16140,124.14
536987,2010-12-03 14:54:00,17198,272.01
536988,2010-12-03 15:05:00,17238,254.39
536989,2010-12-03 15:10:00,17238,115.7
536990,2010-12-03 15:14:00,12793,131.8
536992,2010-12-03 15:16:00,15769,91.8
536993,2010-12-03 15:19:00,14396,110.35000000000001
536994,2010-12-03 15:25:00,14898,98.50000000000001
537022,2010-12-03 15:45:00,12725,427.8
537023,2010-12-03 16:02:00,16725,122.15
C537024,2010-12-03 16:21:00,13941,-75.60000000000001
537026,2010-12-03 16:35:00,12395,346.09999999999997
537030,2010-12-03 16:44:00,16455,246.3
537031,2010-12-03 16:45:00,16455,135.0
537034,2010-12-03 17:20:00,13081,2355.1800000000003
537035,2010-12-03 17:21:00,13081,11.6
537036,2010-12-03 17:28:00,15545,135.32999999999998
537037,2010-12-05 10:03:00,17243,256.9
537038,2010-12-05 10:12:00,15465,535.75
C537039,2010-12-05 10:25:00,15708,-8.32
537040,2010-12-05 10:27:00,13089,734.3999999999999
537041,2010-12-05 10:36:00,16033,155.63999999999996
537042,2010-12-05 10:45:00,13838,238.10999999999996
C537043,2010-12-05 10:48:00,15351,-13.389999999999999
537044,2010-12-05 10:52:00,18055,431.45
537045,2010-12-05 10:54:00,15038,126.43
537046,2010-12-05 10:58:00,18109,277.45
537047,2010-12-05 11:02:00,13069,326.6
537048,2010-12-05 11:03:00,13069,5.9
537049,2010-12-05 11:04:00,16241,277.65
537050,2010-12-05 11:10:00,14800,555.84
537051,2010-12-05 11:12:00,15708,350.67999999999995
537052,2010-12-05 11:15:00,16839,552.24
537053,2010-12-05 11:38:00,16168,275.8
537054,2010-12-05 11:40:00,16931,152.04999999999998
537055,2010-12-05 11:45:00,16814,273.28999999999996
537057,2010-12-05 11:49:00,15351,274.67
537058,2010-12-05 11:51:00,13269,351.43000000000006
537059,2010-12-05 11:54:00,14813,127.98
537065,2010-12-05 11:57:00,12567,1526.92
537067,2010-12-05 11:57:00,14813,27.45
537077,2010-12-05 11:59:00,17062,179.64
537081,2010-12-05 12:00:00,15332,1145.06
537086,2010-12-05 12:01:00,15332,438.0
537090,2010-12-05 12:02:00,15332,15.0
537111,2010-12-05 12:08:00,14810,180.44000000000003
537117,2010-12-05 12:09:00,16353,204.0
537126,2010-12-05 12:13:00,18118,475.86
537127,2010-12-05 12:13:00,13831,408.0
537128,2010-12-05 12:15:00,12841,211.74
537129,2010-12-05 12:15:00,13506,301.11999999999995
537130,2010-12-05 12:23:00,17796,114.65
537131,2010-12-05 12:26:00,15716,547.0999999999999
537133,2010-12-05 12:29:00,18156,206.23
C537132,2010-12-05 12:29:00,15221,-289.15
537134,2010-12-05 12:34:00,16983,163.49
537135,2010-12-05 12:35:00,17059,722.3599999999999
537136,2010-12-05 12:42:00,12748,273.76
537137,2010-12-05 12:43:00,16327,535.6
537138,2010-12-05 12:44:00,17211,273.29999999999995
537139,2010-12-05 12:47:00,17026,33.15
537140,2010-12-05 12:53:00,12748,70.41999999999999
537141,2010-12-05 12:57:00,15570,517.65
537142,2010-12-05 12:57:00,12748,41.45
C537143,2010-12-05 12:58:00,12748,-7.95
537144,2010-12-05 13:00:00,15880,343.28
537153,2010-12-05 13:03:00,16718,623.7500000000001
537154,2010-12-05 13:05:00,15808,1021.45
537155,2010-12-05 13:05:00,12748,75.64000000000001
537156,2010-12-05 13:08:00,17858,251.25
C537157,2010-12-05 13:09:00,15880,-30.0
537158,2010-12-05 13:10:00,16393,184.79999999999998
537159,2010-12-05 13:17:00,14527,292.95
537160,2010-12-05 13:18:00,14161,283.15
537163,2010-12-05 13:21:00,17863,384.72
C537164,2010-12-05 13:21:00,14527,-29.29
537176,2010-12-05 13:26:00,16411,131.5
537179,2010-12-05 13:29:00,13767,806.2800000000002
537192,2010-12-05 13:42:00,16402,211.8
537193,2010-12-05 13:49:00,15023,460.5999999999999
537194,2010-12-05 13:53:00,17402,271.2
537195,2010-12-05 13:55:00,15311,650.64
537196,2010-12-05 13:55:00,15426,411.41999999999996
537197,2010-12-05 14:02:00,12647,286.49999999999994
537198,2010-12-05 14:03:00,12647,85.5
537199,2010-12-05 14:06:00,15894,156.73999999999995
537200,2010-12-05 14:17:00,15867,112.9
537201,2010-12-05 14:19:00,12472,1631.3
537202,2010-12-05 14:25:00,14506,269.7
C537203,2010-12-05 14:44:00,14606,-12.899999999999999
537204,2010-12-05 14:45:00,15555,198.43
537205,2010-12-05 14:52:00,13034,165.85999999999999
537206,2010-12-05 15:02:00,15235,85.55000000000001
537207,2010-12-05 15:06:00,17402,188.77
537208,2010-12-05 15:12:00,15889,297.91999999999996
537209,2010-12-05 15:12:00,14606,192.68
537210,2010-12-05 15:15:00,15953,209.83999999999997
537211,2010-12-05 15:18:00,16143,355.75
537212,2010-12-05 15:21:00,12720,473.39
537213,2010-12-05 15:26:00,12748,8.649999999999999
537214,2010-12-05 15:35:00,16422,1668.2
537215,2010-12-05 15:38:00,12747,358.55999999999995
537216,2010-12-05 15:40:00,15502,569.5
537217,2010-12-05 15:40:00,15502,167.20000000000002
537218,2010-12-05 15:46:00,12763,320.08000000000004
537219,2010-12-05 15:47:00,14081,423.5199999999999
537221,2010-12-05 15:54:00,17965,37.35
537222,2010-12-05 16:00:00,14404,133.48
537223,2010-12-05 16:10:00,13579,164.70000000000002
537224,2010-12-05 16:24:00,13174,1415.97
537225,2010-12-05 16:41:00,12748,496.48
537226,2010-12-06 08:34:00,15987,113.47999999999999
537227,2010-12-06 08:42:00,17677,922.4
537228,2010-12-06 08:43:00,17677,25.200000000000003
537229,2010-12-06 08:44:00,17677,17.4
537231,2010-12-06 09:21:00,13652,308.8
C537232,2010-12-06 09:31:00,12586,-17.0
537233,2010-12-06 09:37:00,17428,353.00000000000006
C537234,2010-12-06 09:40:00,16161,-39.0
537235,2010-12-06 09:45:00,17381,2567.64
537236,2010-12-06 09:52:00,16858,375.69000000000005
537238,2010-12-06 10:03:00,16161,164.2
537239,2010-12-06 10:05:00,18219,210.19
537241,2010-12-06 10:18:00,14293,364.91999999999996
537242,2010-12-06 10:19:00,14748,412.22
537243,2010-12-06 10:19:00,16638,50.400000000000006
537244,2010-12-06 10:20:00,17674,300.66
537245,2010-12-06 10:24:00,14748,58.2
537246,2010-12-06 10:27:00,12808,129.4
537247,2010-12-06 10:34:00,13094,223.68
537248,2010-12-06 10:36:00,15899,56.25
537249,2010-12-06 10:38:00,16955,33.0
537250,2010-12-06 10:43:00,12708,196.44
537254,2010-12-06 11:01:00,15898,382.69
537255,2010-12-06 11:03:00,14443,303.5
537256,2010-12-06 11:06:00,16210,2263.7999999999997
537257,2010-12-06 11:10:00,17691,142.5
537258,2010-12-06 11:16:00,17227,142.25
537262,2010-12-06 11:26:00,15039,611.51
537265,2010-12-06 11:26:00,15919,270.72
537298,2010-12-06 11:37:00,13497,153.5
537301,2010-12-06 11:38:00,15860,102.66
537312,2010-12-06 11:42:00,14189,311.24
537313,2010-12-06 11:42:00,15304,123.15
C537314,2010-12-06 11:42:00,13497,-27.0
C537320,2010-12-06 11:47:00,14867,-8.95
537332,2010-12-06 11:58:00,14344,322.8
C537333,2010-12-06 12:00:00,12474,-34.0
537334,2010-12-06 12:06:00,16719,430.72999999999996
537335,2010-12-06 12:15:00,15048,98.70000000000002
537346,2010-12-06 12:21:00,15301,673.37
537350,2010-12-06 12:23:00,14708,419.05999999999995
537351,2010-12-06 12:23:00,16898,116.07999999999998
537354,2010-12-06 12:23:00,12748,133.07
537359,2010-12-06 12:30:00,14825,184.10000000000002
537360,2010-12-06 12:31:00,18113,76.32000000000001
537362,2010-12-06 12:34:00,17596,392.62
537365,2010-12-06 12:38:00,15078,449.95
537366,2010-12-06 12:39:00,14085,308.05
537367,2010-12-06 12:39:00,15078,25.200000000000003
537368,2010-12-06 12:40:00,14911,377.50000000000006
537369,2010-12-06 12:41:00,17860,252.8
537370,2010-12-06 12:44:00,13155,379.69999999999993
537371,2010-12-06 12:47:00,15028,185.97
537372,2010-12-06 12:52:00,16919,198.35000000000002
537374,2010-12-06 12:55:00,17259,381.64
537375,2010-12-06 12:55:00,17019,358.82
C537373,2010-12-06 12:55:00,14487,-12.75
537376,2010-12-06 12:59:00,16722,480.68
537377,2010-12-06 13:01:00,15882,270.52
537378,2010-12-06 13:06:00,14911,784.15
537380,2010-12-06 13:12:00,15882,100.80000000000001
C537379,2010-12-06 13:12:00,15882,-21.0
537381,2010-12-06 13:13:00,14667,511.56
537382,2010-12-06 13:13:00,16710,375.47
C537383,2010-12-06 13:17:00,16550,-9.05
537384,2010-12-06 13:21:00,15984,122.7
537385,2010-12-06 13:22:00,14487,125.10000000000002
537386,2010-12-06 13:32:00,14911,20.85
537387,2010-12-06 13:34:00,13468,222.17999999999998
537388,2010-12-06 13:35:00,17682,391.5
537389,2010-12-06 13:41:00,17757,149.0
537390,2010-12-06 13:47:00,16658,123.24
537391,2010-12-06 13:53:00,16550,554.66
537392,2010-12-06 13:58:00,17068,166.15
537393,2010-12-06 13:59:00,13089,2415.0400000000004
537394,2010-12-06 14:00:00,13089,81.18
537395,2010-12-06 14:05:00,15356,150.21999999999997
537396,2010-12-06 14:08:00,17223,292.84000000000003
537397,2010-12-06 14:19:00,16817,244.2
C537398,2010-12-06 14:22:00,15426,-4.95
537399,2010-12-06 14:31:00,13030,427.7399999999999
537400,2010-12-06 14:36:00,17191,422.81
537403,2010-12-06 14:43:00,17191,30.450000000000003
C537402,2010-12-06 14:43:00,15502,-192.7
537404,2010-12-06 14:46:00,17191,56.85
537405,2010-12-06 14:51:00,17841,406.68999999999994
C537406,2010-12-06 14:53:00,15502,-167.2
537407,2010-12-06 14:55:00,15502,192.7
C537408,2010-12-06 14:55:00,15502,-25.5
537409,2010-12-06 15:00:00,15194,406.15999999999997
537410,2010-12-06 15:03:00,14409,151.20000000000002
537412,2010-12-06 15:06:00,14409,177.60000000000002
C537413,2010-12-06 15:07:00,14409,-151.20000000000002
537415,2010-12-06 15:09:00,16654,227.40000000000003
C537414,2010-12-06 15:09:00,16861,-22.110000000000003
C537416,2010-12-06 15:10:00,16138,-7.95
C537417,2010-12-06 15:12:00,13481,-4.25
537418,2010-12-06 15:13:00,17884,137.10999999999996
537419,2010-12-06 15:14:00,13495,510.95000000000005
537420,2010-12-06 15:18:00,17519,335.3
537421,2010-12-06 15:25:00,17218,292.53999999999996
537422,2010-12-06 15:27:00,17812,217.54999999999998
537423,2010-12-06 15:34:00,14215,166.0
537424,2010-12-06 15:35:00,15602,92.55000000000001
537428,2010-12-06 15:38:00,17320,450.91999999999996
537429,2010-12-06 15:54:00,12748,82.11999999999999
C537431,2010-12-06 16:10:00,16782,-5.95
537433,2010-12-06 16:36:00,12913,417.62
537435,2010-12-06 16:58:00,17920,221.50000000000003
537440,2010-12-06 17:16:00,17869,214.32
537441,2010-12-06 17:26:00,13564,540.0
C537444,2010-12-07 08:42:00,14850,-47.6
C537445,2010-12-07 08:57:00,15021,-9.35
537446,2010-12-07 09:13:00,18055,569.0300000000001
537447,2010-12-07 09:21:00,13963,151.3
537448,2010-12-07 09:23:00,17450,39.599999999999994
537456,2010-12-07 09:43:00,17450,1989.2399999999998
