InvoiceNo,StockCode,Quantity,UnitPrice
536592,10135,1,2.51
536593,21524,2,7.95
536594,21733,6,2.95
536595,21877,1,1.25
536596,21624,1,5.95
536597,22952,4,0.55
536598,21421,12,1.25
536599,22968,8,8.5
536600,85123A,6,2.55
536601,22632,6,1.85
536602,37370,6,1.06
536603,22632,6,1.85
536604,84832,12,0.85
536605,21364,2,6.75
C536606,20914,-2,2.95
536607,72760B,2,9.95
536608,22863,6,2.95
536609,85123A,6,2.55
536610,22632,6,1.85
536611,22865,12,2.1
536612,85123A,6,2.55
536613,22149,6,2.1
536614,22632,6,1.85
536615,22367,8,1.95
536616,21137,72,3.39
536617,21356,12,1.25
536618,20975,24,0.65
536619,22960,12,3.75
536620,22965,6,2.1
536621,22549,24,1.45
C536622,22752,-2,8.5
536623,21355,24,1.25
536624,22676,10,1.25
536626,22965,6,2.1
C536625,22839,-2,14.95
536627,22927,2,5.95
536628,85123A,6,2.55
536629,22632,6,1.85
536630,85123A,6,2.55
536631,22632,6,1.85
536632,21931,10,1.95
536633,22952,24,0.55
536634,22457,4,2.95
536635,21429,16,1.65
536636,22086,36,2.95
536637,22198,2,1.65
536638,20992,12,0.85
536639,22632,12,2.1
536640,21914,1,1.25
536641,22187,1,4.25
C536642,21463,-1,5.95
536643,85136A,1,7.95
536663,22867,24,2.1
536667,22601,24,0.85
536670,22469,40,1.45
536671,85061W,24,0.85
536672,22812,24,1.95
536673,21014,60,0.85
536674,21034,5,0.95
536676,84846A,6,2.1
536681,84406B,1,3.25
536685,84029E,8,3.39
536688,22632,6,1.85
536690,85123A,6,2.55
536693,22632,6,1.85
536698,21731,12,1.65
536707,37495,4,3.75
536732,21238,8,0.85
536733,21206,12,1.65
C536734,22780,-4,4.25
536735,22659,128,1.65
536736,21703,192,0.42
C536737,22798,-2,2.95
536738,22806,6,2.95
536739,22666,6,2.95
536740,22963,12,0.85
536741,17090D,6,1.25
536742,47504H,1,1.95
536743,22045,25,0.42
536744,22898,25,1.95
536745,22738,30,1.65
536746,22768,2,9.95
536747,16156S,25,0.42
536748,84945,12,0.85
536749,84029G,1,3.75
536750,85123A,12,2.55
536751,22632,6,1.85
536752,85123A,6,2.55
536753,22632,6,1.85
536754,22988,2,1.25
536755,21992,1,2.95
536756,22863,1,2.95
C536757,84347,-9360,0.03
C536758,21314,-1,2.1
536759,48111,4,7.95
C536760,22175,-1,2.95
536761,21116,3,4.95
536762,20972,12,1.25
536763,85114A,120,1.45
536764,84952C,-38,0.0
536765,84952C,19,0.0
536769,22776,4,9.95
536771,22558,12,1.49
536777,20975,24,0.65
536778,21422,16,0.85
536779,BANK CHARGES,1,15.0
536780,22114,1,3.95
536781,22865,24,2.1
536782,22111,3,4.95
536783,22530,60,0.36
536784,85116,24,1.25
536785,84946,216,1.06
536786,85178,96,1.25
536787,85123A,6,2.55
536788,22558,60,1.25
536789,22633,6,1.85
536790,85123A,12,2.95
536791,22632,12,1.85
536792,22558,24,1.25
536793,22727,4,3.75
536794,21314,24,2.1
536795,22086,40,2.55
536796,22376,1,4.25
536797,90002D,4,3.75
536798,22427,1,5.95
536799,21931,3,1.95
536800,22960,6,4.25
536801,21484,4,3.45
536802,22735,10,1.65
536803,22113,6,3.75
536804,21745,24,3.39
536805,21788,24,0.85
536806,21803,36,0.42
C536807,22501,-2,9.95
536808,22423,1,12.75
536809,84950,1824,0.55
536810,21833,204,1.49
536811,22275,69,7.65
C536812,22578,-36,0.85
536813,37450,6,2.95
C536814,21527,-2,7.95
C536815,85175,-1,0.42
C536816,21129,-2,6.95
C536817,22187,-1,4.25
C536818,84947,-1,1.25
536819,22427,3,5.95
C536820,22877,-1,1.95
536821,22630,1,1.95
C536822,22847,-2,16.95
536823,22508,4,3.75
536824,85123A,160,2.55
C536825,22617,-1,4.95
C536826,35004B,-2,4.65
C536827,21527,-3,6.95
C536828,22832,-1,10.75
C536829,71477,-1,3.25
536830,84077,2880,0.18
536831,84880,12,4.95
536832,21927,24,1.25
536833,85123A,6,2.95
536834,21111,12,2.95
536835,22655,1,295.0
536836,21231,20,1.25
536837,82486,2,7.95
536838,15036,24,0.75
536839,84077,288,0.21
536840,22961,12,1.45
536841,22766,8,2.95
536842,20726,10,1.65
536843,22966,12,1.25
536844,22502,32,4.95
536845,84997B,1,3.75
536846,22469,2,1.65
536847,22155,48,0.42
536848,22910,80,2.55
536849,22730,19,3.75
C536850,22942,-48,7.65
536851,20682,24,3.25
536852,22549,12,1.45
C536853,84678,-1,2.55
C536854,22158,-1,2.95
C536855,21527,-4,7.95
536856,22632,12,2.1
536857,22900,5,2.95
536858,22326,30,2.95
536859,22745,1,2.1
536860,22627,1,8.5
536861,22149,6,2.1
536862,15056bl,1,12.72
536863,10123C,1,0.65
536864,20725,2,5.06
536865,10002,5,1.66
536866,72803b,1,8.47
536874,21135,5,1.69
536876,21993,3,2.51
536883,22959,13,0.42
536884,21523,2,7.95
536885,21832,24,1.65
536890,17090A,36,0.85
536920,16235,10,0.21
536938,22386,20,1.95
536941,22734,20,0.0
536942,22139,15,0.0
536943,22469,2,1.65
536944,22383,70,1.65
536945,47503J,1,7.95
536946,22813,12,1.95
536947,84692,25,0.42
536954,22943,100,4.25
536956,20665,6,2.95
536957,22617,12,4.95
536960,22114,4,3.95
536967,POST,1,18.0
536968,79321,48,4.25
536969,71477,192,2.75
536970,22423,120,10.95
536971,21733,32,2.55
536972,22065,6,1.45
536973,22694,6,2.1
536974,15056BL,9,5.95
536975,84352,1,16.95
536976,22753,3,0.85
536977,21481,1,2.95
C536978,22776,-1,9.95
C536979,84685,-1,3.75
536980,22632,10,2.1
536981,22222,1,4.95
536982,20676,1,3.36
536983,22331,8,1.65
536984,21446,1,1.25
536985,22423,6,12.75
536986,21479,8,3.75
536987,90128B,1,1.25
536988,22086,2,2.95
536989,85135B,1,7.95
536990,21992,6,2.95
536991,22572,4,0.85
536992,84032B,36,2.55
536993,22470,2,2.95
536994,22072,8,3.75
536995,35951,57,0.0
536996,22712,-20,0.0
536997,22028,-20,0.0
536998,85067,-6,0.0
536999,21421,110,0.0
537000,21414,-22,0.0
537001,21653,-6,0.0
537002,21651,70,0.0
537003,85126,-2,0.0
537004,21814,-30,0.0
537005,21692,-70,0.0
537006,21648,-130,0.0
537007,21172,-80,0.0
537008,21161,-120,0.0
537009,84534B,-80,0.0
537010,22162,-40,0.0
537011,22139,-5,0.0
537012,21535,-12,0.0
537013,35965,-25,0.0
537014,21040,-20,0.0
537015,37464,-14,0.0
537016,21836,-15,0.0
537017,47556B,-69,0.0
537018,84562A,-3,0.0
537019,37474,-15,0.0
537020,21807,-30,0.0
537021,21011,-20,0.0
537022,22791,12,1.25
537023,22509,1,16.95
537025,22662,1,1.65
C537024,20893,-36,2.1
537026,84375,12,2.1
537027,18098C,-140,0.0
537028,21696,-320,0.0
537029,37476,-6,0.0
537030,22587,12,0.85
537031,22775,24,1.25
537032,21275,-30,0.0
537034,22867,96,1.85
537035,37446,8,1.45
537036,22660,1,7.95
537037,22114,8,3.95
537038,21523,10,6.75
C537039,22854,-1,4.95
537040,22423,48,10.95
537041,22726,4,3.75
537042,22969,12,1.45
C537043,22575,-6,1.95
537044,72807B,4,4.25
537045,90175C,1,8.95
537046,22169,16,7.65
537047,22603,5,0.85
537048,90162B,1,2.95
537049,21733,6,2.95
537050,16237,30,0.21
537051,22301,6,2.55
537052,22791,72,1.06
537053,22926,2,5.95
537054,22732,1,1.25
537055,15056BL,2,5.95
537057,22379,2,2.1
537058,22941,2,8.5
537059,85124C,1,2.55
537065,22837,8,4.65
537067,22654,1,5.95
537077,72232,24,0.19
537081,22409,12,1.25
537086,20967,20,3.75
537090,21915,12,1.25
537111,22974,6,1.65
537117,79321,48,4.25
537126,20956,1,1.25
537127,85123A,128,2.55
537128,22890,1,9.95
537129,22242,12,1.65
537130,22835,2,4.65
537131,22810,6,2.95
537133,21468,1,3.75
C537132,22788,-2,8.5
537134,22111,12,4.95
537135,22144,3,2.1
537136,20894,1,2.95
537137,84832,16,0.85
537138,22571,6,0.85
537139,22423,1,12.75
537140,M,1,0.42
537141,84947,6,1.25
537142,22844,1,8.5
C537143,20685,-1,7.95
537144,84352,1,16.95
537153,84836,12,1.25
537154,22837,18,4.65
537155,62018,1,1.95
537156,84792,3,4.65
C537157,35953,-24,1.25
537158,22629,4,1.95
537159,22112,6,4.95
537160,22605,1,14.95
537163,22738,10,1.65
C537164,D,-1,29.29
537176,22556,2,1.65
537179,22111,18,4.95
537192,22859,2,1.65
537193,22890,1,9.95
537194,22619,80,3.39
537195,22620,1,1.25
537196,22112,1,4.95
537197,22843,2,6.75
537198,20685,10,6.75
537199,22810,6,2.95
537200,21038,3,2.95
537201,22781,2,7.65
537202,48138,2,7.95
C537203,37449,-1,9.95
537204,22297,6,1.25
537205,22251,12,1.25
537206,21485,3,4.95
537207,22924,6,0.85
537208,90082B,1,6.35
537209,21115,1,6.75
537210,85123A,32,2.55
537211,22666,6,2.95
537212,20712,10,1.95
537213,20966,1,1.25
537214,20963,10,1.25
537215,85124C,12,2.55
537216,22195,12,1.65
537217,22849,4,14.95
537218,85016,6,2.55
537219,21217,2,9.95
537220,22450,1,3.35
537221,22942,1,8.5
537222,21385,1,0.85
537223,22835,4,4.65
537224,22829,2,9.95
537225,84795B,4,7.95
537226,22811,6,2.95
537227,22941,2,8.5
537228,22144,12,2.1
537229,22961,12,1.45
537230,21733,1,2.95
537231,71477,4,3.25
C537232,84840,-2,8.5
537233,22652,20,1.65
C537234,22653,-20,1.95
537235,22622,156,8.5
537236,85048,4,7.95
537237,15036,2,1.28
537238,22565,5,0.85
537239,22767,2,9.95
537240,20914,1,5.91
537241,22111,9,4.95
537242,22615,24,0.29
537243,22632,12,2.1
537244,22027,12,0.42
537245,22469,12,1.65
537246,22150,6,1.95
537247,22174,48,1.48
537248,84968F,1,12.75
537249,22080,20,1.65
537250,84030E,4,4.25
C537251,22429,-2,4.25
537252,22197,31,0.85
537253,22466,6,1.95
537254,22149,2,2.1
537255,22381,5,2.1
537256,21137,480,3.39
537257,22910,6,2.95
537258,21034,1,0.95
537262,22197,100,0.72
537265,46000M,2,1.55
537298,21349,4,6.75
537301,22470,4,2.95
537312,21868,72,1.06
537313,22699,6,2.95
C537314,21349,-4,6.75
C537320,35400,-1,8.95
537332,21730,6,4.95
C537333,22636,-4,8.5
537334,22726,2,3.75
537335,20757,3,0.85
537346,20685,2,7.95
537350,21682,4,4.95
537351,22215,1,8.5
537354,85099B,6,1.95
537359,22086,12,2.95
537360,84946,72,1.06
537361,21777,5,0.0
537362,16016,2,0.85
537363,84569B,-20,0.0
537364,21027,-70,0.0
537365,22652,10,1.65
537366,22569,10,3.75
537367,82582,12,2.1
537368,20749,4,7.95
537369,72131,1,1.95
537370,22549,1,1.45
537371,90179C,1,5.95
537372,48187,4,7.95
537374,22415,1,7.95
537375,18097C,4,2.55
C537373,22423,-1,12.75
537376,22568,24,3.39
537377,72802A,12,4.25
537378,22697,12,2.95
537380,22633,24,2.1
C537379,22865,-10,2.1
537381,22865,10,2.1
537382,22727,3,3.75
C537383,21658,-1,3.95
537384,22633,10,2.1
537385,22423,4,12.75
537386,22119,3,6.95
537387,22794,2,7.95
537388,85123A,12,2.95
537389,21754,1,5.95
537390,22816,12,0.42
537391,22423,3,12.75
537392,M,5,1.25
537393,21471,6,3.75
537394,22558,12,1.49
537395,20983,1,0.85
537396,M,1,35.0
537397,22595,36,0.85
C537398,22430,-1,4.95
537399,22815,12,0.42
537400,22795,1,6.75
537401,84898F,-24,0.0
537403,22333,4,1.65
C537402,22926,-4,5.95
537404,21955,1,7.95
537405,79321,30,4.25
C537406,22926,-4,5.95
537407,47580,6,2.55
C537408,47580,-6,2.55
537409,21262,6,2.95
537410,22834,72,2.1
537411,22837,1,4.65
537412,22834,96,1.85
C537413,22834,-72,2.1
537415,22960,6,4.25
C537414,POST,-1,4.41
C537416,22840,-1,7.95
C537417,22960,-1,4.25
537418,22952,1,0.55
537419,22189,8,3.95
537420,22727,4,3.75
537421,22533,2,0.42
537422,84030E,1,4.25
537423,22602,24,0.85
537424,85123A,6,2.95
537425,84968F,-20,0.0
537426,84968E,-35,0.0
537427,84968B,-21,0.0
537428,48173C,3,7.95
537429,21830,24,0.42
537430,85215,120,0.0
537432,35833G,-43,0.0
C537431,21755,-1,5.95
537433,22086,80,2.55
537434,20685,1,14.43
537435,22697,10,2.95
537436,84270,7,0.0
537437,90167,10,0.0
537438,22959,13,0.0
537439,37474,1,0.0
537440,22616,12,0.29
537441,22169,2,8.5
537442,21506,1,0.42
C537444,22580,-8,5.95
C537445,22418,-11,0.85
537446,20782,4,5.49
537447,22568,8,3.75
537448,21756,6,6.6
537449,21054,-30,0.0
537450,20684,-19,0.0
537451,84881,-11,0.0
537452,20941,-24,0.0
537453,21248,-18,0.0
537454,21349,-44,0.0
537455,22155,-70,0.0
537456,22469,402,1.93
537457,20675,72,1.06
537458,22633,12,2.1
537459,20982,12,0.85
537460,85123A,128,2.55
537461,79321,120,4.25
537462,84997C,6,3.75
537463,22961,12,1.45
537464,22113,16,3.75
537465,22147,12,1.45
537466,21488,-50,0.0
537467,21733,2,2.95
537468,22114,4,3.95
537469,22112,24,4.25
537470,22423,4,12.75
537471,22427,3,5.95
537472,22086,12,2.95
537476,22379,150,1.85
537484,17091J,36,0.38
537489,22198,24,1.65
537509,22834,96,1.85
537523,21733,6,2.95
C537530,21527,-1,7.95
537534,85064,1,0.0
537538,22966,12,1.25
537567,90178A,1,11.95
C537572,BANK CHARGES,-1,95.38
C537581,S,-1,12.95
537592,84879,64,1.69
537593,21930,40,1.95
537594,84968C,4,12.75
537595,21287,3,1.25
C537596,22968,-2,9.95
C537597,D,-1,281.0
537598,22904,6,2.95
537599,22618,2,9.95
C537600,AMAZONFEE,-1,1.0
537601,22988,1,1.25
C537602,85099B,-1,1.65
537603,21485,3,4.95
537604,84991,24,0.55
537605,21466,7,3.75
537606,85038,6,2.1
537607,22909,4,0.85
537608,84949,12,1.65
537609,22726,8,3.75
C537610,M,-1,631.31
C537611,22865,-36,2.1
537612,21733,6,2.95
C537613,M,-1,313.78
537614,22729,2,3.75
537615,48194,5,7.95
537616,85048,2,7.95
537617,20972,12,1.25
537618,84347,120,1.88
537619,85123A,32,2.55
537620,21012,6,2.1
537621,22385,3,1.95
537622,22962,12,0.85
537623,22659,2,1.95
537624,22737,5,1.65
537625,72741,9,1.45
537626,85116,12,2.1
537627,85049A,24,1.25
537628,22149,6,2.1
537629,22762,1,14.95
537631,22961,12,1.45
C537630,AMAZONFEE,-1,13541.33
537632,AMAZONFEE,1,13541.33
537633,22139,1,4.95
537634,21617,1,3.75
537635,22086,18,2.95
537636,22637,16,2.55
537637,22835,1,4.65
537638,10002,5,1.66
537639,22734,30,0.0
537640,21080,10,2.51
537641,15056n,2,12.72
537642,21189,1,3.36
537643,21157,4,4.21
537645,15056bl,2,12.72
C537644,AMAZONFEE,-1,13474.79
537646,22781,1,7.65
C537647,AMAZONFEE,-1,5519.25
537648,21557,6,2.95
537649,84949,12,1.65
537650,48187,2,7.95
C537651,AMAZONFEE,-1,13541.33
C537652,AMAZONFEE,-1,6706.71
537653,84658,2,6.95
537654,70007,2,1.65
537655,21730,3,4.95
C537656,21258,-12,10.95
537657,82484,408,4.78
537658,82484,48,4.78
537659,22765,23,9.89
537664,21143,24,1.95
537665,22943,1,4.95
537666,22245,1,1.66
537667,22158,128,2.55
537668,22867,12,2.1
537669,84978,12,1.25
537670,21463,2,5.95
537671,22837,4,4.65
537672,22768,2,9.95
537673,21429,10,1.65
537674,22601,12,0.85
537675,22816,12,0.42
537676,22567,24,1.25
C537677,21166,-1,1.95
537678,71477,48,2.75
537679,22816,12,0.42
537680,22816,12,0.42
537681,22952,48,0.55
537682,22975,12,1.25
537683,21238,8,0.85
C537684,22301,-1,2.55
537685,22188,1,3.95
537686,21122,48,1.25
537687,84840,-9,0.0
537688,22909,12,0.85
537689,21833,12,1.69
537690,84378,12,1.25
537691,22791,12,1.25
537692,21733,6,2.95
537693,22710,25,0.42
537694,22941,2,8.5
537698,84945,384,0.72
537700,35004B,12,4.65
537707,22837,4,4.65
537738,22423,2,12.75
537743,22798,8,2.95
C537746,22156,-1,0.85
537751,22822,4,5.95
537754,22699,4,2.95
537755,21621,6,8.5
C537756,21914,-24,1.25
537757,82483,16,4.95
537758,20972,12,1.25
537759,21232,12,1.25
537760,22961,12,1.45
537761,22469,12,1.65
537762,22969,12,1.45
C537763,85068,-1,7.95
537764,22737,1,1.65
537765,90214S,2,1.25
537766,22932,72,2.1
537767,21258,32,10.95
537768,21930,10,1.95
537769,15056BL,2,5.95
537770,22044,24,0.42
537771,21232,24,1.25
537772,84613C,1,4.65
537773,20764,1,3.75
537774,85199L,36,0.65
537775,22846,4,14.95
537780,21034,1,0.95
537781,22816,12,0.42
537789,22313,12,2.95
C537788,90062,-1,12.75
537791,21258,8,10.95
537792,22622,1,9.95
537793,21931,100,1.65
537794,48138,1,7.95
537795,82486,4,7.95
537796,21260,6,3.25
537799,22111,4,4.95
C537797,22501,-1,8.5
C537798,22357,-1,4.25
537800,M,12,0.19
537801,82483,16,4.95
537802,84580,4,3.75
537803,90184B,5,8.95
537804,72130,12,0.65
C537805,35004C,-1,4.65
537806,37448,8,1.49
537808,84559B,2,0.85
C537807,84949,-5,1.65
537809,85067,1,18.95
537810,22415,3,7.95
537811,71053,24,3.39
C537812,21843,-10,9.95
537813,22694,6,2.1
C537814,20703,-3,4.25
537815,22355,10,0.85
537816,79321,24,4.25
537817,22837,4,4.65
537818,22867,12,2.1
537819,22966,12,1.25
C537820,22627,-1,8.5
C537821,85048,-3,6.95
537822,21539,3,4.95
537823,22904,2,5.91
C537824,22220,-1,9.95
537825,22644,4,1.45
537826,22966,1,1.25
537827,22145,30,2.1
537828,21810,12,1.25
537829,47559B,10,1.25
537830,21034,2,0.95
537831,82494L,3,2.95
C537832,22073,-2,3.75
537833,51008,200,2.95
C537834,22697,-1,2.95
C537835,22138,-3,4.95
537836,21790,144,0.72
537837,22507,4,4.95
C537838,22299,-4,1.25
537839,21174,1,1.95
537840,22845,2,6.35
537841,16014,1000,0.32
537842,22093,1,1.25
537843,22645,12,1.45
537844,22112,1,4.95
537845,21754,3,5.95
537846,22558,96,1.25
537847,22839,1,14.95
537848,84050,144,1.25
537849,22147,60,1.25
537850,20725,10,1.65
537851,22937,12,2.55
537852,84952A,18,3.75
C537853,79000,-1,0.85
537854,21098,24,1.25
537855,20685,2,7.95
C537856,37370,-2,1.25
C537857,D,-1,267.12
537858,22575,1,1.95
537859,21121,2,1.25
C537860,84406B,-8,3.25
537861,22111,3,4.95
537862,22152,24,0.42
537863,22580,1,5.95
537864,22960,6,4.25
537865,22077,6,1.65
537866,85123A,32,2.55
537867,22768,2,9.95
537868,22534,24,0.42
537870,21486,-77,0.0
537871,22900,2,2.95
537872,21595,1,0.0
537873,37461,1,0.0
537874,85170A,1,0.0
537875,20849,1,0.0
537876,84977,2,0.0
537877,21661,1,0.0
537878,72803B,1,0.0
537879,22114,12,3.95
537880,21669,12,1.25
537881,22730,16,3.75
537882,22804,32,2.55
537883,84946,12,1.25
537884,22423,16,10.95
537885,48185,2,7.95
537886,22855,12,1.25
537887,21479,96,3.39
537888,84535B,16,0.65
537889,21671,12,1.25
537890,22937,6,2.55
537891,22961,12,1.45
537892,POST,1,18.0
C537893,22450,-1,3.35
537894,22943,3,4.95
537895,84029E,8,3.75
537896,21143,12,1.95
537897,POST,1,18.0
537898,22659,2,1.95
537899,22328,1488,2.55
537900,22113,2,3.75
537901,22423,16,10.95
537915,21891,12,1.25
537955,22158,1,2.95
537963,37446,32,1.25
537967,21843,2,10.95
537981,22560,250,1.06
537995,22173,8,2.95
C537998,22727,-4,3.75
537999,22034,-223,0.0
538000,22942,5,8.5
538001,35958,10,0.0
538002,22690,2,7.95
538003,22847,8,14.95
538004,22114,144,0.0
538005,22617,24,4.25
538006,85123A,32,2.55
538007,22808,6,2.95
538008,22331,16,1.65
538009,22112,6,4.95
538010,71053,4,3.75
538011,21843,1,10.95
538012,22357,2,4.25
538013,72232,24,0.19
538014,22969,12,1.45
538015,21745,3,3.75
538032,22669,5,2.95
538035,84341B,1,0.85
538036,21690,34,0.0
538037,20974,24,0.65
538038,21488,8,0.0
538039,22139,7,0.0
538040,22592,1,3.75
538041,22145,30,0.0
538042,21763,-4,0.0
538043,22833,-1,0.0
538044,22821,3,0.65
538045,84688,27,0.0
538046,85008,-15,0.0
538047,21429,-70,0.0
538048,84360,36,4.65
538049,22798,2,2.95
538050,48184,2,7.95
538051,79000,12,0.85
C538052,22138,-1,4.95
538053,79321,24,4.25
538054,85167B,-24,0.0
538055,22454,-20,0.0
538056,21530,1,2.95
538057,22629,36,1.95
538058,20966,-150,0.0
C538059,84380,-12,1.25
538060,22812,3,1.95
538061,21801,-38,0.0
C538062,22139,-14,4.25
538063,22830,96,19.94
538064,21823,2,1.45
538065,21844,6,2.95
C538066,22083,-1,2.95
538067,84944,1,4.25
538068,70006,2,1.65
538069,84832,19,0.85
538070,22300,6,2.55
538071,16236,2,0.43
538072,22423,-13,0.0
538073,16016,2,0.85
538074,21743,-80,0.0
C538075,21284,-12,1.69
538076,37444B,2,2.95
538077,16237,8,0.21
538078,22776,2,9.95
538079,22671,12,1.65
538080,22791,24,1.25
C538081,22630,-33,1.95
C538082,21864,-20,2.1
C538083,85099B,-3,1.95
C538084,22860,-6,1.65
C538085,82486,-1,7.95
538086,85123A,14,2.95
538087,21479,4,3.75
C538088,84625C,-24,0.85
C538089,21906,-1,6.75
538090,20956,-723,0.0
C538091,35400,-2,8.95
538092,37467,-177,0.0
538093,22736,10,1.65
538094,21284,12,1.69
538095,22504,1,29.95
538096,22419,1,0.42
538097,22333,24,1.65
C538098,22168,-1,8.5
C538099,72807C,-1,4.25
C538100,84798A,-12,2.55
538101,35001W,78,2.95
C538102,84792,-2,4.65
C538103,22941,-2,8.5
538104,84559A,5,0.85
C538105,79163,-1,1.65
538106,22816,12,0.42
538107,22086,6,2.95
538108,22571,12,0.85
C538109,22780,-4,4.25
C538110,21232,-144,1.06
C538111,21830,-24,0.42
C538112,22072,-1,3.75
538113,21533,3,4.95
C538114,21275,-1,16.95
C538115,22178,-1,1.25
538116,22834,24,2.1
538117,22142,12,1.45
C538118,22910,-1,2.95
C538119,22633,-1,2.1
538120,22197,100,0.72
C538121,22461,-1,12.75
C538122,22444,-1,1.25
C538123,22331,-1,1.65
C538124,M,-4,0.5
538125,22772,12,1.25
538126,22429,4,4.25
538127,90192,1,4.95
538128,21357,46,0.0
538129,84497,79,0.0
538130,90042C,10,0.0
538131,17091A,84,0.0
538132,84773,3,0.0
538133,85018C,3,0.0
538134,20878,2,0.0
538135,21186,2,0.0
538136,37509,2,0.0
538137,62095B,2,0.0
538138,72814,2,0.0
538139,84802A,2,0.0
538140,90002D,9,0.0
538141,22218,2,0.0
538142,84247C,1,0.0
538143,84534B,1,0.0
538144,90042B,1,0.0
538145,22224,6,2.95
538146,22073,4,3.75
538147,M,1,15.0
538148,15056bl,3,12.72
538149,15056n,2,12.72
538151,22622,24,8.5
538153,15056bl,1,12.72
538154,21035,1,5.91
538155,84849D,1,1.69
538156,22212,8,2.1
538157,22445,5,2.95
538158,20892,-32,0.0
538159,21324,-18,0.0
538160,20956,288,0.0
538161,46000S,-100,0.0
538162,46000M,-100,0.0
538163,20713,1,1.95
C538164,35004B,-1,1.95
538165,22988,72,1.25
538166,22405,6,1.25
538167,22086,40,2.55
538168,22078,5,2.1
538169,22156,2,0.85
538170,22834,20,2.1
538171,22824,1,35.95
538172,21562,12,1.25
538173,22353,-28,0.0
538174,21210,12,1.45
538175,POST,21,18.0
538176,85123A,64,2.55
538177,11001,1,3.36
538178,22649,8,4.95
538179,22810,6,2.95
538180,22554,24,1.65
538181,22065,12,1.45
538182,21733,6,2.95
538183,22943,15,4.95
538184,22585,12,1.25
538185,85048,10,7.95
538186,20685,2,7.95
538187,22960,6,4.25
538188,22317,1,2.95
C538189,M,-1,133.08
538190,22469,20,1.65
538191,85116,96,1.25
538192,48116,20,6.75
538193,48116,10,6.75
538194,21034,1,0.95
538195,48184,30,6.75
538196,POST,8,18.0
538197,21754,1,5.95
538198,22818,12,0.42
538199,22530,5,0.42
538200,21034,1,0.95
